Province,ID,Year,CO2,SO2,PM2.5,RGRPPC,POP,FDI,TO,T,EI,EU,KL
Anhui,24,2015,304.41,480072.79,63.6997,385527034599156,61440000,106486,849730614050649,2262.87,948717876459288,72.38,43865374808771
Beijing,6,2015,87.97,71171.67,79.83122,353753194173177,21710000,380963,192531802774529,4605,186031014544583,92.28,0.770538459936554
Chongqing,15,2015,116.86,495801.96,33.5479,47047114684946,30170000,78845,908791439929316,1468.57,437809873619613,82.44,284453294510686
Fujian,29,2015,228.66,337881.74,27.51966,526239188311688,38390000,196713,159262121279869,5561.4,743423999796569,75.26,256545394168825
Gansu,11,2015,168.93,570621.39,37.91699,105176676470588,26000000,7657,194429849047409,14.18,185902237623509,69.65,42117619879579
Guangdong,20,2015,507.05,678341.35,31.27493,64509922136011,108490000,644310,970742140912013,17884.66,562013704714636,83.98,208561701890499
Guangxi,19,2015,186.49,421198.7,32.53703,43136179491018,47960000,42529,929176605769783,1916.86,784643836868768,71.57,271818787789969
Guizhou,18,2015,208.23,852964.5,25.17089,101688717184265,35300000,18147,262242455329358,231.33,175603838081852,63.96,301572996341869
Hainan,30,2015,60.99,32300.6,17.90427,400878176870748,9110000,31174,217956431573211,248.52,711607390770719,75.57,212609383970355
Hebei,4,2015,719.67,1108370.93,72.61633,514811276102088,74250000,73624,813458430249744,501.91,845588108416575,70.31,600273295475273
Heilongjiang,1,2015,287.09,456331.21,54.25686,292797874787535,38120000,22302,33738700152073,395.33,585962020582007,76.40,322332349122296
Henan,23,2015,487.65,1144252.3,61.84441,865219139418255,94800000,68710,120236534814878,623.6,71823428534685,69.22,479001936653709
Hubei,22,2015,287.85,551358,54.95251,361533665133596,58520000,89231,543849980963898,1671.9,760175572696095,76.05,348336835282926
Hunan,21,2015,255.89,595473.42,42.29412,554273400290592,67830000,52147,43778390014342,857.72,460669750037985,70.01,328996296111748
Inner Mongolia,0,2015,579.85,1230945.68,32.9585,25695888,25110000,35142,11388394311176,962.49,22278236921083,77.26,739790127853147
Jiangsu,25,2015,664.53,835058.81,70.37717,397866257912458,79760000,782154,396155858773574,3527.29,631938512427372,77.99,360897722635528
Jiangxi,28,2015,175.52,528064.92,37.98927,420517286156568,45660000,72578,736821654520242,567,594876532573005,68.04,341949224178099
Jilin,2,2015,196.93,362928,61.47904,345455101125938,27530000,35230,213977080893052,724.14,479056931486833,72.85,428583979658926
Liaoning,3,2015,601.48,968766.93,57.92708,661769769103143,43820000,206639,934447212003584,1636.5,589000070704064,81.02,430471803546078
Ningxia,10,2015,157.43,357596.19,40.45409,282068595318431,6680000,8972,544618926564459,20.84,400833346061093,76.03,760205242610151
Qinghai,12,2015,38.98,150766,30.313,392760984745763,5880000,7396,303179168699673,38.76,240119090923716,69.99,888413570442888
Shaanxi,9,2015,370.14,735017.21,43.97401,361104950024378,37930000,51571,407281672427701,2000.22,909499957371743,75.82,451427779998457
Shandong,7,2015,1105.30,1525670.1,68.26188,702351473516527,98470000,219334,238973713132312,2896.48,752136675164676,73.09,56578147968072
Shanghai,26,2015,233.29,170843.52,67.83926,402607332601537,24150000,661273,277559229519804,5860.44,322911330112407,94.27,122878691578466
Shanxi,8,2015,591.43,1120643.18,40.61946,666081585829643,36640000,41107,266324319404212,297.1,192987804133748,72.04,557854183165826
Sichuan,16,2015,283.85,717584.45,31.28165,63257043688433,82040000,88409,890612518105294,1180.87,105653829763481,63.98,361125049262092
Tianjin,5,2015,165.15,185900.43,83.91239,165913746774194,15470000,181328,682669916355059,3298.11,382893760898893,89.28,356187133122917
Xinjiang,13,2015,368.12,778330.32,56.23491,764110265029789,23600000,8518,314638621198401,555.89,267446047242576,70.00,450445600413089
Yunnan,17,2015,162.44,583739.22,17.29304,346340640283843,47420000,32720,545514192975272,2875.5,190868618177945,66.93,388449265519904
