N,Province,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
1,Beijing,0.0,116638.0,211936.0,449536.8,416780.8,558990.4,874019.0,1210454.7,1079092.5,815282.6,1234186.0,930862.1,1548761.2,1343714.3,457857.8,716431.4,1046401.9,1431252.3,1842486.9,1966862.2,2404999.4,1348236.8,1636215.3,1684710.1,2213418.3,2676495.2,932308.3,1277174.1,1814926.6,942620.2,2602665
2,Tianjin,116638.0,0.0,179815.1,454445.1,533115.6,556686.4,883754.6,1244142.3,963000.1,700601.8,1121497.3,827010.3,1444141.8,1248988.8,344470.8,649234.1,980145.6,1358335.3,1756732.0,1900929.1,2329392.5,1311648.7,1629025.4,1637629.9,2183633.3,2720266.8,921200.0,1334045.2,1865896.2,984156.2,2686894
3,Hebei,211936.0,179815.1,0.0,277798.9,547371.0,735692.8,1061323.9,1413726.4,965620.4,692456.5,1090928.3,760901.8,1375170.7,1152899.3,346996.8,506790.1,835592.4,1222058.4,1640419.0,1755449.7,2196198.2,1141207.5,1449472.7,1474274.0,2010261.2,2554038.6,741749.9,1181646.6,1706197.4,821119.3,2564249
4,Shanxi,449536.8,454445.1,277798.9,0.0,614535.9,1002952.9,1322832.7,1655758.7,1091854.0,824147.6,1165007.0,802420.5,1376757.3,1114282.7,541190.0,426053.1,707786.5,1096315.6,1547005.0,1596813.9,2059800.8,923134.4,1186704.5,1273506.7,1774501.9,2280324.6,484892.7,926415.6,1439426.6,555024.5,2340473
5,Inner Mongolia,416780.8,533115.6,547371.0,614535.9,0.0,762172.8,991506.2,1212430.8,1491361.4,1223329.3,1633978.3,1308175.6,1920932.6,1688132.2,865699.5,1011858.8,1318088.8,1708434.4,2151777.7,2210306.6,2674291.4,1515832.1,1693357.6,1873443.8,2331276.8,2522665.4,1049081.2,1115761.8,1652551.6,873635.3,2297786
6,Liaoning,558990.4,556686.4,735692.8,1002952.9,762172.8,0.0,330152.9,718601.3,1197718.7,1008588.0,1415347.7,1226249.7,1801573.8,1673124.6,750192.9,1174569.3,1497415.3,1853808.5,2205358.1,2405644.1,2805073.3,1861025.8,2185007.8,2175659.1,2735370.0,3221850.1,1477418.0,1812797.5,2354562.6,1495700.6,3059950
7,Jilin,874019.0,883754.6,1061323.9,1322832.7,991506.2,330152.9,0.0,410468.0,1458230.1,1300134.6,1686963.2,1532966.5,2085605.8,1979252.7,1071810.4,1503989.4,1825236.5,2176614.6,2514304.0,2729158.2,3119810.4,2190996.8,2508440.5,2505405.6,3065112.8,3501425.7,1801890.6,2089186.9,2630921.3,1792590.1,3263708
8,Heilongjiang,1210454.7,1244142.3,1413726.4,1655758.7,1212430.8,718601.3,410468.0,0.0,1867153.9,1709923.3,2096908.1,1939581.5,2496072.4,2386398.9,1468794.1,1884369.1,2211057.3,2571886.7,2920556.2,3123235.9,3522963.3,2554630.4,2838588.6,2881003.7,3423382.1,3727894.0,2140596.2,2327240.7,2860383.2,2071268.6,3371334
9,Shanghai,1079092.5,963000.1,965620.4,1091854.0,1491361.4,1197718.7,1458230.1,1867153.9,0.0,273823.7,237775.7,379704.2,648407.4,655409.9,626290.1,771431.4,853189.7,995411.6,1157617.1,1491771.1,1774052.7,1303501.0,1776794.8,1455753.6,2068036.6,3135018.8,1237017.3,1949835.0,2389548.9,1574988.6,3394449
10,Jiangsu,815282.6,700601.8,692456.5,824147.6,1223329.3,1008588.0,1300134.6,1709923.3,273823.7,0.0,426205.5,263477.7,793388.7,689073.0,358052.5,545566.2,713420.5,956218.4,1224307.6,1494736.5,1838941.3,1167923.5,1620384.4,1379863.5,1990848.9,2939261.0,1020172.9,1704121.1,2164794.2,1326227.5,3144499
11,Zhejiang,1234186.0,1121497.3,1090928.3,1165007.0,1633978.3,1415347.7,1686963.2,2096908.1,237775.7,426205.5,0.0,367514.6,410642.7,457445.2,777026.5,784860.8,768910.7,823358.2,929934.9,1284820.2,1543379.4,1193052.7,1674580.2,1294827.9,1899543.0,3060921.8,1214178.8,1956616.3,2357953.0,1592825.0,3399603
12,Anhui,930862.1,827010.3,760901.8,802420.5,1308175.6,1226249.7,1532966.5,1939581.5,379704.2,263477.7,367514.6,0.0,617904.2,446988.6,497821.2,418855.6,478693.3,692745.6,981337.5,1232839.6,1589911.2,933644.2,1401290.5,1122178.5,1734897.1,2755413.5,866130.6,1596928.5,2018000.2,1229087.5,3042009
13,Fujian,1548761.2,1444141.8,1375170.7,1376757.3,1920932.6,1801573.8,2085605.8,2496072.4,648407.4,793388.7,410642.7,617904.2,0.0,303124.4,1108766.0,953638.2,782761.1,629896.6,554161.4,957582.3,1149987.7,1095393.4,1562224.4,1079919.6,1643768.7,2965527.7,1276129.4,2027952.0,2351941.5,1696994.3,3438682
14,Jiangxi,1343714.3,1248988.8,1152899.3,1114282.7,1688132.2,1673124.6,1979252.7,2386398.9,655409.9,689073.0,457445.2,446988.6,303124.4,0.0,937030.2,688451.2,481724.3,375556.4,536005.5,836365.8,1149963.8,807241.2,1283166.0,847934.1,1445512.2,2686143.4,975154.7,1725580.6,2052110.8,1398918.8,3136107
15,Shandong,457857.8,344470.8,346996.8,541190.0,865699.5,750192.9,1071810.4,1468794.1,626290.1,358052.5,777026.5,497821.2,1108766.0,937030.2,0.0,462760.4,762032.1,1104831.5,1462158.0,1657348.9,2056135.6,1168155.3,1561433.9,1452399.5,2037858.4,2784631.9,880375.8,1464685.4,1964749.4,1088603.8,2880401
16,Henan,716431.4,649234.1,506790.1,426053.1,1011858.8,1174569.3,1503989.4,1884369.1,771431.4,545566.2,784860.8,418855.6,953638.2,688451.2,462760.4,0.0,331093.2,715268.8,1141731.7,1252255.0,1689415.2,705520.8,1110385.2,1001705.9,1577082.7,2395481.8,474615.0,1181149.5,1622060.3,810714.5,2626675
17,Hubei,1046401.9,980145.6,835592.4,707786.5,1318088.8,1497415.3,1825236.5,2211057.3,853189.7,713420.5,768910.7,478693.3,782761.1,481724.3,762032.1,331093.2,0.0,390970.9,840822.3,921185.8,1363370.1,456091.0,923663.4,692312.8,1290638.5,2293904.6,493517.1,1245646.1,1599390.8,918159.4,2667005
18,Hunan,1431252.3,1358335.3,1222058.4,1096315.6,1708434.4,1853808.5,2176614.6,2571886.7,995411.6,956218.4,823358.2,692745.6,629896.6,375556.4,1104831.5,715268.8,390970.9,0.0,468694.4,552743.6,974184.1,483380.1,934540.7,472903.9,1076880.6,2336526.5,798735.6,1501671.1,1756944.2,1225189.6,2859447
19,Guangdong,1842486.9,1756732.0,1640419.0,1547005.0,2151777.7,2205358.1,2514304.0,2920556.2,1157617.1,1224307.6,929934.9,981337.5,554161.4,536005.5,1462158.0,1141731.7,840822.3,468694.4,0.0,434576.6,618203.2,900829.6,1276007.3,710016.5,1167751.9,2631966.5,1266423.9,1950372.3,2152279.1,1690472.3,3261263
20,Guangxi,1966862.2,1900929.1,1755449.7,1596813.9,2210306.6,2405644.1,2729158.2,3123235.9,1491771.1,1494736.5,1284820.2,1232839.6,957582.3,836365.8,1657348.9,1252255.0,921185.8,552743.6,434576.6,0.0,485695.6,750784.7,982301.0,426063.1,739935.8,2258387.3,1207396.6,1777052.9,1877597.8,1589972.8,2976944
21,Hainan,2404999.4,2329392.5,2196198.2,2059800.8,2674291.4,2805073.3,3119810.4,3522963.3,1774052.7,1838941.3,1543379.4,1589911.2,1149987.7,1149963.8,2056135.6,1689415.2,1363370.1,974184.1,618203.2,485695.6,0.0,1236470.0,1429023.8,903483.0,1005029.3,2590767.7,1689739.7,2254817.5,2315209.0,2075664.2,3396772
22,Chongqing,1348236.8,1311648.7,1141207.5,923134.4,1515832.1,1861025.8,2190996.8,2554630.4,1303501.0,1167923.5,1193052.7,933644.2,1095393.4,807241.2,1168155.3,705520.8,456091.0,483380.1,900829.6,750784.7,1236470.0,0.0,481990.5,360572.0,875116.4,1880276.8,473066.3,1054596.0,1273780.7,839309.0,2377913
23,Sichuan,1636215.3,1629025.4,1449472.7,1186704.5,1693357.6,2185007.8,2508440.5,2838588.6,1776794.8,1620384.4,1674580.2,1401290.5,1562224.4,1283166.0,1561433.9,1110385.2,923663.4,934540.7,1276007.3,982301.0,1429023.8,481990.5,0.0,574096.4,674361.7,1403782.5,707865.4,878931.3,895391.2,852170.5,1998434
24,Guizhou,1684710.1,1637629.9,1474274.0,1273506.7,1873443.8,2175659.1,2505405.6,2881003.7,1455753.6,1379863.5,1294827.9,1122178.5,1079919.6,847934.1,1452399.5,1001705.9,692312.8,472903.9,710016.5,426063.1,903483.0,360572.0,574096.4,0.0,613580.5,1926718.4,833634.4,1352225.9,1465892.7,1183985.3,2571808
25,Yunnan,2213418.3,2183633.3,2010261.2,1774501.9,2331276.8,2735370.0,3065112.8,3423382.1,2068036.6,1990848.9,1899543.0,1734897.1,1643768.7,1445512.2,2037858.4,1577082.7,1290638.5,1076880.6,1167751.9,739935.8,1005029.3,875116.4,674361.7,613580.5,0.0,1586241.8,1293470.9,1541180.9,1424600.1,1519705.8,2445938
26,Tibet,2676495.2,2720266.8,2554038.6,2280324.6,2522665.4,3221850.1,3501425.7,3727894.0,3135018.8,2939261.0,3060921.8,2755413.5,2965527.7,2686143.4,2784631.9,2395481.8,2293904.6,2336526.5,2631966.5,2258387.3,2590767.7,1880276.8,1403782.5,1926718.4,1586241.8,0.0,1922792.7,1412251.6,870800.2,1736309.3,1089617
27,Shaanxi,932308.3,921200.0,741749.9,484892.7,1049081.2,1477418.0,1801890.6,2140596.2,1237017.3,1020172.9,1214178.8,866130.6,1276129.4,975154.7,880375.8,474615.0,493517.1,798735.6,1266423.9,1207396.6,1689739.7,473066.3,707865.4,833634.4,1293470.9,1922792.7,0.0,754390.5,1152678.0,430418.5,2188035
28,Gansu,1277174.1,1334045.2,1181646.6,926415.6,1115761.8,1812797.5,2089186.9,2327240.7,1949835.0,1704121.1,1956616.3,1596928.5,2027952.0,1725580.6,1464685.4,1181149.5,1245646.1,1501671.1,1950372.3,1777052.9,2254817.5,1054596.0,878931.3,1352225.9,1541180.9,1412251.6,754390.5,0.0,542225.0,378911.9,1445529
29,Qinghai,1814926.6,1865896.2,1706197.4,1439426.6,1652551.6,2354562.6,2630921.3,2860383.2,2389548.9,2164794.2,2357953.0,2018000.2,2351941.5,2052110.8,1964749.4,1622060.3,1599390.8,1756944.2,2152279.1,1877597.8,2315209.0,1273780.7,895391.2,1465892.7,1424600.1,870800.2,1152678.0,542225.0,0.0,885435.0,1108995
30,Ningxia,942620.2,984156.2,821119.3,555024.5,873635.3,1495700.6,1792590.1,2071268.6,1574988.6,1326227.5,1592825.0,1229087.5,1696994.3,1398918.8,1088603.8,810714.5,918159.4,1225189.6,1690472.3,1589972.8,2075664.2,839309.0,852170.5,1183985.3,1519705.8,1736309.3,430418.5,378911.9,885435.0,0.0,1819645
31,Xinjiang,2602664.7,2686894.3,2564249.3,2340473.0,2297785.8,3059950.4,3263708.3,3371333.7,3394449.2,3144499.1,3399603.0,3042008.9,3438682.2,3136107.3,2880400.9,2626675.1,2667005.5,2859447.4,3261263.0,2976944.5,3396772.3,2377913.4,1998434.2,2571808.1,2445938.4,1089617.4,2188034.8,1445528.8,1108995.3,1819644.9,0
